NAME,treatment,location,line,collar,date [YYYY-MM-DD HH:MM:SS],intial pressure [kPa],total volume [cm+3],linear flux (dry) [umol+1m-2s-1],chamber volume [cm+3],collar height [cm],mean chamber T [C],mean pressure [kPa],mean CO2 [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],initial CO2 (dry) [umol+1 mol-1],quadratic flux (dry) [umol+1m-2s-1],quadratic flux R2,linear flux R2,mean water content [mmol+1 mol-1],chamber area [cm+2],chamber closure time (s),CO2 range (dry) [umol+1 mol-1],range of pressure [kPa],Licor volume [cm+3]
SB_BerryHill_line3_5,insect,BerryHill,3,5,7/21/22 15:11,98.21,1021.6,4.17214,835.2,2,17.74933,98.21,363.2,343.91,368.96,4.43438,0.9995,0.99939,15.624,83.7,17,50.04,0.03,19
SB_BerryHill_line3_5,insect,BerryHill,3,5,7/21/22 15:13,98.22,1021.6,3.99696,835.2,2,17.7105,98.22,369,351.49,374.86,3.99696,0.99947,0.99947,15.625,83.7,17,46.9,0.05,19
SB_BerryHill_line3_4,insect,BerryHill,3,4,7/21/22 15:21,98.23,979.75,2.49994,835.2,1.5,17.3605,98.23,346.3,335.22,351.66,2.73109,0.9992,0.99897,15.237,83.7,17,32.16,0.05,19
SB_BerryHill_line3_4,insect,BerryHill,3,4,7/21/22 15:23,98.24,979.75,2.49984,835.2,1.5,17.31633,98.25,343.41,331.82,348.72,2.61071,0.99906,0.99901,15.229,83.7,17,32.5,0.04,19
SB_BerryHill_line3_2,insect,BerryHill,3,2,7/21/22 15:34,98.29,1063.45,3.494,835.2,2.5,18.67083,98.3,368.41,351.64,374.68,4.14347,0.999,0.99809,16.731,83.7,17,43.07,0.04,19
SB_BerryHill_line3_2,insect,BerryHill,3,2,7/21/22 15:36,98.3,1063.45,3.2677,835.2,2.5,18.5805,98.31,351.73,337.47,357.76,3.82758,0.99885,0.99797,16.84,83.7,17,38.93,0.03,19
SB_BerryHill_line3_1,insect,BerryHill,3,1,7/21/22 15:47,98.33,1021.6,3.40974,835.2,2,20.0875,98.33,371.8,355.58,378.76,3.85976,0.99944,0.99901,18.361,83.7,17,43.97,0.03,19
SB_BerryHill_line3_1,insect,BerryHill,3,1,7/21/22 15:49,98.34,1021.6,3.44408,835.2,2,20.08417,98.34,368.89,352.39,375.8,3.82273,0.99939,0.99911,18.378,83.7,17,44.24,0.04,19
SB_BerryHill_line3_3,insect,BerryHill,3,3,7/21/22 16:07,98.27,979.75,2.66678,835.2,1.5,21.74667,98.27,359.63,347.24,366.31,3.17329,0.99944,0.99846,18.231,83.7,17,36.37,0.03,19
SB_BerryHill_line3_3,insect,BerryHill,3,3,7/21/22 16:09,98.28,979.75,2.45069,835.2,1.5,21.45833,98.28,347.55,336.89,353.88,2.63699,0.99907,0.99893,17.875,83.7,17,32.94,0.04,19
